symbol	id	ensg	Entrez.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrez
A1BG	ENSG00000121410_A1BG	ENSG00000121410	1	163.2006283	0.656345455	0.552027298	1.188972823	0.234450362	0.516695012	1
A1BG-AS1	ENSG00000268895_A1BG-AS1	ENSG00000268895	503538	36.28876239	-0.222541091	0.909412617	-0.244708603	0.806682066	0.920966879	503538
A1CF	ENSG00000148584_A1CF	ENSG00000148584	29974	40.11828978	0.025035298	1.005852026	0.024889643	0.980142989	0.992299731	29974
A2M	ENSG00000175899_A2M	ENSG00000175899	2	16278.64527	-1.596493633	0.500840953	-3.187625978	0.00143446	0.025550877	2
A2M-AS1	ENSG00000245105_A2M-AS1	ENSG00000245105	144571	66.21595281	-1.343551575	0.916416675	-1.466092458	0.1426231	0.394448375	144571
A2ML1	ENSG00000166535_A2ML1	ENSG00000166535	144568	4058.395393	4.186043368	1.079454675	3.877924165	0.000105352	0.003861491	144568
A2MP1	ENSG00000256069_A2MP1	ENSG00000256069	3	18.3403434	-2.273746637	1.253561717	-1.813829032	0.069704051	0.265968814	3
A3GALT2	ENSG00000184389_A3GALT2	ENSG00000184389	127550	17.24948456	-0.937678458	0.791382309	-1.184861537	0.236072197	0.518530313	127550
A4GALT	ENSG00000128274_A4GALT	ENSG00000128274	53947	813.5847785	0.76797688	0.722155017	1.063451561	0.287577221	0.570380604	53947
A4GNT	ENSG00000118017_A4GNT	ENSG00000118017	51146	20.66533581	-0.407661489	0.855107984	-0.476736853	0.633549517	0.82723279	51146
AAAS	ENSG00000094914_AAAS	ENSG00000094914	8086	834.7572543	-0.098101273	0.376018806	-0.260894592	0.794173795	0.915870227	8086
AACS	ENSG00000081760_AACS	ENSG00000081760	65985	1023.806002	1.208620673	0.360990693	3.34806602	0.000813776	0.017541432	65985
AACSP1	ENSG00000250420_AACSP1	ENSG00000250420	729522	12.41727855	3.385538991	1.899216647	1.782597575	0.074651835	0.276505966	729522
AADAC	ENSG00000114771_AADAC	ENSG00000114771	13	189.9026914	-2.685662673	0.873399916	-3.074951834	0.002105366	0.032718518	13
