Gene name	Chromosome ID	Region	Start position	End position	Start position
ASXL1	20	whole gene	20:30946155	20:31027122	20:32358352
BRAF	7	missense: position 600 (aa)	7:140453136	7:140453136	7:140753336
CALR	19	Indel: positions 360 to 380 (aa)	19:13054550	19:13054681	19:12943736
CBL	11	whole gene	11:119076752	11:119178859	11:119206042
DNMT3A	2	whole gene	2:25455845	2:25565459	2:25232976
EZH2	7	whole gene	7:148504477	7:148581370	7:148807385
FLT3	13	missense: position 835 (aa)	13:28592640	13:28592640	13:28018503
FLT3	13	Indel: exon 9	13:28622412	13:28622580	13:28048275
FLT3	13	Indel: exon 10	13:28611322	13:28611425	13:28037185
FLT3	13	Indel: exon 11	13:28610072	13:28610180	13:28035935
GNAS	20	whole gene	20:57427769	20:57486247	20:58852714
GNB1	1	missense: position 57 (aa)	1:1747229	1:1747229	1:1815790
GNB1	1	missense: position 76 (aa)	1:1737954	1:1737954	1:1806515
GNB1	1	missense: position 80 (aa)	1:1737942	1:1737942	1:1806503
IDH1	2	missense: position 132 (aa)	2:209113112	2:209113112	2:208248388
IDH2	15	missense: position 140 (aa)	15:90631934	15:90631934	15:90088702
IDH2	15	missense: positions 172 (aa)	15:90631838	15:90631838	15:90088606
JAK2	9	missense: position 617 (aa)	9:5073770	9:5073770	9:5073770
KIT	4	missense: position 816 (aa)	4:55599321	4:55599321	4:54733155
KRAS	12	missense: position 12 (aa)	12:25398284	12:25398284	12:25245350
KRAS	12	missense: position 13 (aa)	12:25398281	12:25398281	12:25245347
KRAS	12	missense: position 61 (aa)	12:25380275	12:25380275	12:25227341
MPL	1	missense: position 515 (aa)	1:43815009	1:43815009	1:43349338
MYD88	3	missense: position 265 (aa)	3:38182333	3:38182333	3:38140842
NPM1	5	Indel: position 288 (aa)	5:170837548	5:170837548	5:171410544
NRAS	1	missense: positions 12 (aa)	1:115258748	1:115258748	1:114716127
NRAS	1	missense: positions 13 (aa)	1:115258744	1:115258744	1:114716123
NRAS	1	missense: positions 61 (aa)	1:115256528	1:115256528	1:114713907
PPM1D	17	whole gene	17:58677544	17:58741849	17:60600183
PTPN11	12	whole gene	12:112856718	12:112947717	12:112418914
RUNX1	21	whole gene	21:36160098	21:36421641	21:34787801
SETBP1	18	missense: multiple positions 858-870 (aa)	18:42531877	18:42531913	18:44951912
SF3B1	2	missense: multiple positions 622-781 (aa)	2:198266495	2:198267491	2:197401771
SMC1A	X	whole gene	X:53401070	X:53449677	X:53374149
SMC3	10	whole gene	10:112327449	10:112364394 	10:110567691
SRSF2	17	missense: position 95 (aa)	17:74732959	17:74732959	17:76736877
STAG2	X	whole gene	X:123094369	X:123235348	X:123960519
TET2	4	whole gene	4:106067450	4:106200973 	4:105146293
TP53	17	whole gene	17:7571720	17:7590856	17:7668402
U2AF1	21	missense: position 34 (aa)	21:44524456	21:44524456	21:43104346
U2AF1	21	missense: position 157 (aa)	21:44514777	21:44514777	21:43094667
WT1	11	whole gene	11:32409321	11:32457176	11:32387775
ZRSR2	X	whole gene	X:15808595	X:15841383	X:15790472
ATM	11	whole gene	11:108093559	11:108239826	11:108222832
CHEK2	22	whole gene	22:29083751	22:29137826	22:28687763

MPL	1	missense: position 515 (aa)	1:43815009	1:43815009	1:43349338
NRAS	1	missense: positions 12 (aa)	1:115258748	1:115258748	1:114716127
NRAS	1	missense: positions 13 (aa)	1:115258744	1:115258744	1:114716123
NRAS	1	missense: positions 61 (aa)	1:115256528	1:115256528	1:114713907
